cricsheet_match_id,match_date,event_name,competition_type,venue,city,team_1,team_2,source_search_query,source_url,source_title,accessed_at_utc,scheduled_start_local,timezone_name,scheduled_start_utc,start_time_status,verifier_id,verification_note,exclusion_reason
1294970,2022-01-18,Zimbabwe tour of Sri Lanka,bilateral_series,Pallekele International Cricket Stadium,Kandy,Zimbabwe,Sri Lanka,"""Zimbabwe"" ""Sri Lanka"" ""2022-01-18"" scheduled start time",,,,,,,pending,,,
1277082,2022-01-19,India tour of South Africa,bilateral_series,"Boland Park, Paarl",Paarl,South Africa,India,"""South Africa"" ""India"" ""2022-01-19"" scheduled start time",,,,,,,pending,,,
1277083,2022-01-21,India tour of South Africa,bilateral_series,"Boland Park, Paarl",Paarl,India,South Africa,"""India"" ""South Africa"" ""2022-01-21"" scheduled start time",,,,,,,pending,,,
1294971,2022-01-21,Zimbabwe tour of Sri Lanka,bilateral_series,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Zimbabwe,"""Sri Lanka"" ""Zimbabwe"" ""2022-01-21"" scheduled start time",,,,,,,pending,,,
1277084,2022-01-23,India tour of South Africa,bilateral_series,"Newlands, Cape Town",Cape Town,South Africa,India,"""South Africa"" ""India"" ""2022-01-23"" scheduled start time",,,,,,,pending,,,
1299586,2022-02-05,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,United Arab Emirates,"""Oman"" ""United Arab Emirates"" ""2022-02-05"" scheduled start time",,,,,,,pending,,,
1278676,2022-02-06,West Indies tour of India,bilateral_series,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,West Indies,India,"""West Indies"" ""India"" ""2022-02-06"" scheduled start time",,,,,,,pending,,,
1299587,2022-02-06,ICC Men's Cricket World Cup League 2,qualification_pathway,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,United Arab Emirates,"""Oman"" ""United Arab Emirates"" ""2022-02-06"" scheduled start time",,,,,,,pending,,,
1278677,2022-02-09,West Indies tour of India,bilateral_series,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,West Indies,"""India"" ""West Indies"" ""2022-02-09"" scheduled start time",,,,,,,pending,,,
1278678,2022-02-11,West Indies tour of India,bilateral_series,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India,West Indies,"""India"" ""West Indies"" ""2022-02-11"" scheduled start time",,,,,,,pending,,,
1302616,2022-03-05,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Oman,United Arab Emirates,"""Oman"" ""United Arab Emirates"" ""2022-03-05"" scheduled start time",,,,,,,pending,,,
1302617,2022-03-06,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Namibia,Oman,"""Namibia"" ""Oman"" ""2022-03-06"" scheduled start time",,,,,,,pending,,,
1302618,2022-03-08,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Namibia,United Arab Emirates,"""Namibia"" ""United Arab Emirates"" ""2022-03-08"" scheduled start time",,,,,,,pending,,,
1302619,2022-03-09,ICC Men's Cricket World Cup League 2,qualification_pathway,"ICC Academy, Dubai",Dubai,Oman,United Arab Emirates,"""Oman"" ""United Arab Emirates"" ""2022-03-09"" scheduled start time",,,,,,,pending,,,
1302620,2022-03-11,ICC Men's Cricket World Cup League 2,qualification_pathway,Sharjah Cricket Stadium,Sharjah,Namibia,Oman,"""Namibia"" ""Oman"" ""2022-03-11"" scheduled start time",,,,,,,pending,,,
1302621,2022-03-12,ICC Men's Cricket World Cup League 2,qualification_pathway,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,Namibia,"""United Arab Emirates"" ""Namibia"" ""2022-03-12"" scheduled start time",,,,,,,pending,,,
1302622,2022-03-14,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Oman,Namibia,"""Oman"" ""Namibia"" ""2022-03-14"" scheduled start time",,,,,,,pending,,,
1302623,2022-03-15,ICC Men's Cricket World Cup League 2,qualification_pathway,Sharjah Cricket Stadium,Sharjah,Papua New Guinea,United Arab Emirates,"""Papua New Guinea"" ""United Arab Emirates"" ""2022-03-15"" scheduled start time",,,,,,,pending,,,
1302624,2022-03-16,ICC Men's Cricket World Cup League 2,qualification_pathway,Sharjah Cricket Stadium,Sharjah,Papua New Guinea,Nepal,"""Papua New Guinea"" ""Nepal"" ""2022-03-16"" scheduled start time",,,,,,,pending,,,
1277097,2022-03-18,Bangladesh tour of South Africa,bilateral_series,"SuperSport Park, Centurion",Centurion,Bangladesh,South Africa,"""Bangladesh"" ""South Africa"" ""2022-03-18"" scheduled start time",,,,,,,pending,,,
1302625,2022-03-18,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Nepal,"""United Arab Emirates"" ""Nepal"" ""2022-03-18"" scheduled start time",,,,,,,pending,,,
1302626,2022-03-19,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Papua New Guinea,"""United Arab Emirates"" ""Papua New Guinea"" ""2022-03-19"" scheduled start time",,,,,,,pending,,,
1277098,2022-03-20,Bangladesh tour of South Africa,bilateral_series,"The Wanderers Stadium, Johannesburg",Johannesburg,Bangladesh,South Africa,"""Bangladesh"" ""South Africa"" ""2022-03-20"" scheduled start time",,,,,,,pending,,,
1302627,2022-03-21,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,United Arab Emirates,Nepal,"""United Arab Emirates"" ""Nepal"" ""2022-03-21"" scheduled start time",,,,,,,pending,,,
1302628,2022-03-22,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Papua New Guinea,Nepal,"""Papua New Guinea"" ""Nepal"" ""2022-03-22"" scheduled start time",,,,,,,pending,,,
1277099,2022-03-23,Bangladesh tour of South Africa,bilateral_series,"SuperSport Park, Centurion",Centurion,South Africa,Bangladesh,"""South Africa"" ""Bangladesh"" ""2022-03-23"" scheduled start time",,,,,,,pending,,,
1305496,2022-03-25,Papua New Guinea tour of Nepal,bilateral_series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,Nepal,"""Papua New Guinea"" ""Nepal"" ""2022-03-25"" scheduled start time",,,,,,,pending,,,
1305497,2022-03-26,Papua New Guinea tour of Nepal,bilateral_series,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,Papua New Guinea,"""Nepal"" ""Papua New Guinea"" ""2022-03-26"" scheduled start time",,,,,,,pending,,,
1288313,2022-03-29,Australia tour of Pakistan,bilateral_series,"Gaddafi Stadium, Lahore",Lahore,Australia,Pakistan,"""Australia"" ""Pakistan"" ""2022-03-29"" scheduled start time",,,,,,,pending,,,
1288987,2022-03-29,Netherlands tour of New Zealand,bilateral_series,"Bay Oval, Mount Maunganui",Mount Maunganui,Netherlands,New Zealand,"""Netherlands"" ""New Zealand"" ""2022-03-29"" scheduled start time",,,,,,,pending,,,
1288314,2022-03-31,Australia tour of Pakistan,bilateral_series,"Gaddafi Stadium, Lahore",Lahore,Australia,Pakistan,"""Australia"" ""Pakistan"" ""2022-03-31"" scheduled start time",,,,,,,pending,,,
1288315,2022-04-02,Australia tour of Pakistan,bilateral_series,"Gaddafi Stadium, Lahore",Lahore,Australia,Pakistan,"""Australia"" ""Pakistan"" ""2022-04-02"" scheduled start time",,,,,,,pending,,,
1288988,2022-04-02,Netherlands tour of New Zealand,bilateral_series,"Seddon Park, Hamilton",Hamilton,New Zealand,Netherlands,"""New Zealand"" ""Netherlands"" ""2022-04-02"" scheduled start time",,,,,,,pending,,,
1288989,2022-04-04,Netherlands tour of New Zealand,bilateral_series,"Seddon Park, Hamilton",Hamilton,New Zealand,Netherlands,"""New Zealand"" ""Netherlands"" ""2022-04-04"" scheduled start time",,,,,,,pending,,,
1308244,2022-04-09,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Scotland,Papua New Guinea,"""Scotland"" ""Papua New Guinea"" ""2022-04-09"" scheduled start time",,,,,,,pending,,,
1308245,2022-04-10,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Scotland,Oman,"""Scotland"" ""Oman"" ""2022-04-10"" scheduled start time",,,,,,,pending,,,
1308246,2022-04-12,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Papua New Guinea,Oman,"""Papua New Guinea"" ""Oman"" ""2022-04-12"" scheduled start time",,,,,,,pending,,,
1308247,2022-04-13,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Scotland,Papua New Guinea,"""Scotland"" ""Papua New Guinea"" ""2022-04-13"" scheduled start time",,,,,,,pending,,,
1308248,2022-04-15,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Oman,Scotland,"""Oman"" ""Scotland"" ""2022-04-15"" scheduled start time",,,,,,,pending,,,
1308249,2022-04-16,ICC Men's Cricket World Cup League 2,qualification_pathway,Dubai International Cricket Stadium,Dubai,Oman,Papua New Guinea,"""Oman"" ""Papua New Guinea"" ""2022-04-16"" scheduled start time",,,,,,,pending,,,
1312798,2022-05-28,ICC Men's Cricket World Cup League 2,qualification_pathway,"Choice Moosa Stadium, Pearland",Pearland,United States of America,Scotland,"""United States of America"" ""Scotland"" ""2022-05-28"" scheduled start time",,,,,,,pending,,,
1312799,2022-05-29,ICC Men's Cricket World Cup League 2,qualification_pathway,"Choice Moosa Stadium, Pearland",Pearland,Scotland,United States of America,"""Scotland"" ""United States of America"" ""2022-05-29"" scheduled start time",,,,,,,pending,,,
1312800,2022-05-31,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,United Arab Emirates,Scotland,"""United Arab Emirates"" ""Scotland"" ""2022-05-31"" scheduled start time",,,,,,,pending,,,
1312801,2022-06-01,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,United Arab Emirates,United States of America,"""United Arab Emirates"" ""United States of America"" ""2022-06-01"" scheduled start time",,,,,,,pending,,,
1302350,2022-06-02,West Indies tour of Netherlands,bilateral_series,"VRA Ground, Amstelveen",Amstelveen,Netherlands,West Indies,"""Netherlands"" ""West Indies"" ""2022-06-02"" scheduled start time",,,,,,,pending,,,
1312802,2022-06-03,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,Scotland,United Arab Emirates,"""Scotland"" ""United Arab Emirates"" ""2022-06-03"" scheduled start time",,,,,,,pending,,,
1302351,2022-06-04,West Indies tour of Netherlands,bilateral_series,"VRA Ground, Amstelveen",Amstelveen,West Indies,Netherlands,"""West Indies"" ""Netherlands"" ""2022-06-04"" scheduled start time",,,,,,,pending,,,
1312803,2022-06-04,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,United States of America,United Arab Emirates,"""United States of America"" ""United Arab Emirates"" ""2022-06-04"" scheduled start time",,,,,,,pending,,,
1312804,2022-06-08,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,United States of America,Oman,"""United States of America"" ""Oman"" ""2022-06-08"" scheduled start time",,,,,,,pending,,,
1315038,2022-06-08,West Indies tour of Pakistan,bilateral_series,Multan Cricket Stadium,Multan,West Indies,Pakistan,"""West Indies"" ""Pakistan"" ""2022-06-08"" scheduled start time",,,,,,,pending,,,
1312805,2022-06-09,ICC Men's Cricket World Cup League 2,qualification_pathway,"Moosa Cricket Stadium, Pearland",Pearland,Oman,Nepal,"""Oman"" ""Nepal"" ""2022-06-09"" scheduled start time",,,,,,,pending,,,
